"cnpj";"coalesce";"coalesce";"coalesce";"y"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
14;"5101";"04061010-000";"0";"aliquota zero"
14;"5101";"04069020-000";"0";"aliquota zero"
14;"5101";"04061010-000";"0";"aliquota zero"
14;"5101";"04069020-000";"0";"aliquota zero"
14;"6101";"04041000-000";"0";"aliquota zero"
14;"6101";"04041000-000";"0";"aliquota zero"
14;"5101";"04061010-000";"0";"aliquota zero"
14;"5101";"04069020-000";"0";"aliquota zero"
14;"5101";"04061010-000";"0";"aliquota zero"
14;"5101";"04069020-000";"0";"aliquota zero"
14;"5101";"04069020-000";"0";"aliquota zero"
14;"1556";"73064000-000";"0";"tributado"
14;"2407";"29053100-000";"0";"tributado"
14;"1556";"73079900-000";"0";"tributado"
14;"6101";"04041000-000";"0";"aliquota zero"
14;"6101";"04041000-000";"0";"aliquota zero"
14;"6125";"04041000-000";"0";"tributado"
14;"6125";"04041000-000";"0";"tributado"
14;"5125";"04069020-000";"0";"tributado"
14;"5101";"04061010-000";"0";"aliquota zero"
14;"2407";"34021900-000";"0";"tributado"
14;"1556";"39172900-000";"0";"tributado"
14;"1556";"73072200-000";"0";"tributado"
14;"1556";"73071990-000";"0";"tributado"
14;"1556";"39174090-000";"0";"tributado"
14;"1556";"73072200-000";"0";"tributado"
14;"1556";"73079900-000";"0";"tributado"
14;"1556";"73071990-000";"0";"tributado"
14;"1556";"68129300-000";"0";"tributado"
14;"1556";"68129990-000";"0";"tributado"
14;"2556";"30029099-000";"0";"tributado"
14;"1556";"85044090-000";"0";"tributado"
14;"1556";"39205100-000";"0";"tributado"
14;"1556";"39206100-000";"0";"tributado"
14;"1556";"84821010-000";"0";"tributado"
14;"1556";"73181400-000";"0";"tributado"
14;"1556";"40169300-000";"0";"tributado"
14;"1556";"39269090-000";"0";"tributado"
14;"1556";"84842000-000";"0";"tributado"
14;"1556";"32081020-000";"0";"tributado"
14;"1556";"59090000-000";"0";"tributado"
14;"1556";"59090000-000";"0";"tributado"
14;"1556";"85444900-000";"0";"tributado"
14;"1556";"85153900-000";"0";"tributado"
14;"1556";"85441100-000";"0";"tributado"
14;"1556";"39206900-000";"0";"tributado"
14;"1556";"85030090-000";"0";"tributado"
14;"1556";"85030090-000";"0";"tributado"
14;"1556";"84149020-000";"0";"tributado"
14;"1556";"84139190-000";"0";"tributado"
14;"1556";"40169300-000";"0";"tributado"
14;"1556";"40169300-000";"0";"tributado"
14;"1556";"73181400-000";"0";"tributado"
14;"1556";"73181400-000";"0";"tributado"
14;"1556";"73181400-000";"0";"tributado"
14;"1556";"73181500-000";"0";"tributado"
14;"1556";"84821010-000";"0";"tributado"
14;"1556";"84821010-000";"0";"tributado"
14;"1556";"84842000-000";"0";"tributado"
14;"1556";"40169300-000";"0";"tributado"
14;"1556";"85441100-000";"0";"tributado"
