"char_length";"cfop";"ncm";"coalesce";"y"
14;"1102";"79070090-000";"0";"tributado"
14;"1102";"62011300-000";"0";"tributado"
14;"1403";"39259010-000";"0";"tributado"
14;"1403";"39269090-000";"0";"tributado"
14;"1403";"39095019-000";"0";"tributado"
14;"1403";"84818019-000";"0";"tributado"
14;"1403";"76169900-000";"0";"tributado"
14;"1403";"82089000-000";"0";"tributado"
14;"1403";"82075011-000";"0";"tributado"
14;"1403";"82075011-000";"0";"tributado"
14;"1403";"82075011-000";"0";"tributado"
14;"1403";"73182200-000";"0";"tributado"
14;"1403";"73182200-000";"0";"tributado"
14;"1403";"27101932-000";"0";"tributado"
14;"1403";"39269090-000";"0";"tributado"
14;"1403";"82075011-000";"0";"tributado"
14;"1403";"82075011-000";"0";"tributado"
14;"1403";"39100090-000";"0";"tributado"
14;"1403";"44170090-000";"0";"tributado"
14;"1403";"82075011-000";"0";"tributado"
14;"1102";"56074900-000";"0";"tributado"
14;"1102";"96034090-000";"0";"tributado"
14;"1403";"83014000-000";"0";"tributado"
14;"1403";"73269090-000";"0";"tributado"
14;"1403";"39259010-000";"0";"tributado"
14;"1403";"40103900-000";"0";"tributado"
14;"1403";"82022000-000";"0";"tributado"
14;"1403";"90178010-000";"0";"tributado"
14;"1403";"39259010-000";"0";"tributado"
14;"1403";"39174090-000";"0";"tributado"
14;"1403";"40103900-000";"0";"tributado"
14;"1403";"40103900-000";"0";"tributado"
14;"1403";"83016000-000";"0";"tributado"
14;"1403";"39173290-000";"0";"tributado"
14;"1403";"73181200-000";"0";"tributado"
14;"1403";"40103900-000";"0";"tributado"
14;"1403";"40103900-000";"0";"tributado"
14;"1403";"40103900-000";"0";"tributado"
14;"1403";"40103900-000";"0";"tributado"
14;"1403";"83014000-000";"0";"tributado"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"tributado"
14;"1102";"30023090-000";"0";"aliquota zero"
14;"1102";"38089119-000";"0";"tributado"
14;"1102";"30043939-000";"0";"monofasico revenda de produtos"
14;"1102";"30042061-000";"0";"monofasico revenda de produtos"
14;"1102";"30042061-000";"0";"monofasico revenda de produtos"
14;"1102";"34022000-000";"0";"tributado"
14;"1102";"30049079-000";"0";"monofasico revenda de produtos"
14;"1102";"38089192-000";"0";"aliquota zero"
14;"1403";"23091000-000";"0";"tributado"
14;"1403";"23091000-000";"0";"tributado"
14;"1102";"04011010-000";"0";"aliquota zero"
14;"1102";"04031000-000";"0";"aliquota zero"
14;"1403";"04031000-000";"0";"aliquota zero"
14;"1403";"02071400-000";"0";"aliquota zero"
14;"1102";"02071400-000";"0";"aliquota zero"
14;"1102";"02071400-000";"0";"aliquota zero"
14;"1403";"16021000-000";"0";"tributado"
14;"1102";"04061010-000";"0";"aliquota zero"
14;"1102";"02071400-000";"0";"aliquota zero"
14;"1403";"16010000-000";"0";"tributado"
14;"1403";"16010000-000";"0";"tributado"
14;"1403";"02071400-000";"0";"aliquota zero"
14;"2102";"30042099-000";"0";"monofasico revenda de produtos"
14;"1403";"32091010-000";"0";"tributado"
14;"1403";"32091010-000";"0";"tributado"
14;"1932";"00000000-000";"2";"tributado"
14;"1102";"38089991-000";"0";"aliquota zero"
14;"1102";"23091000-000";"0";"tributado"
14;"1102";"38089192-000";"0";"aliquota zero"
14;"1932";"00000000-000";"2";"tributado"
14;"2102";"29369000-000";"0";"tributado"
14;"2102";"39259010-000";"0";"tributado"
14;"2102";"38089119-000";"0";"tributado"
14;"1102";"39173290-000";"0";"tributado"
14;"1102";"84368000-000";"0";"tributado"
14;"2102";"30042061-000";"0";"monofasico revenda de produtos"
14;"1102";"30042019-000";"0";"monofasico revenda de produtos"
14;"1102";"05119920-000";"0";"aliquota zero"
14;"1653";"27101259-000";"0";"tributado"
14;"1653";"27101259-000";"0";"tributado"
14;"1653";"27101259-000";"0";"tributado"
14;"1653";"27101259-000";"0";"tributado"
14;"1653";"27101259-000";"0";"tributado"
14;"1653";"27101259-000";"0";"tributado"
14;"1653";"27101259-000";"0";"tributado"
14;"1653";"27101259-000";"0";"tributado"
14;"1653";"27101259-000";"0";"tributado"
14;"1653";"27101259-000";"0";"tributado"
14;"1653";"27101259-000";"0";"tributado"
14;"1653";"27101259-000";"0";"tributado"
14;"1102";"05119920-000";"0";"aliquota zero"
14;"1102";"05119920-000";"0";"aliquota zero"
14;"1102";"05119920-000";"0";"aliquota zero"
14;"1102";"05119920-000";"0";"aliquota zero"
14;"1102";"05119920-000";"0";"aliquota zero"
14;"1102";"05119920-000";"0";"aliquota zero"
14;"1102";"05119920-000";"0";"aliquota zero"
14;"1102";"05119920-000";"0";"aliquota zero"
14;"1102";"05119920-000";"0";"aliquota zero"
14;"1102";"05119920-000";"0";"aliquota zero"
14;"1102";"05119920-000";"0";"aliquota zero"
14;"1102";"05119920-000";"0";"aliquota zero"
14;"1102";"05119920-000";"0";"aliquota zero"
14;"1102";"05119920-000";"0";"aliquota zero"
14;"1102";"05119920-000";"0";"aliquota zero"
14;"1102";"05119920-000";"0";"aliquota zero"
14;"1102";"34022000-000";"0";"tributado"
14;"1102";"34022000-000";"0";"tributado"
14;"1102";"34022000-000";"0";"tributado"
14;"1102";"90183119-000";"0";"tributado"
14;"1102";"30049046-000";"0";"tributado"
14;"1102";"32159000-000";"0";"tributado"
14;"1102";"90183119-000";"0";"tributado"
14;"1102";"34022000-000";"0";"tributado"
14;"1556";"85361000-000";"0";"sem direito"
14;"1556";"85361000-000";"0";"sem direito"
14;"1556";"85318000-000";"0";"sem direito"
14;"1556";"90283019-000";"0";"tributado"
14;"1102";"39201010-000";"0";"tributado"
14;"1102";"85394900-000";"0";"tributado"
14;"1102";"84362900-000";"0";"tributado"
14;"1102";"30049043-000";"0";"monofasico revenda de produtos"
14;"1102";"39259010-000";"0";"tributado"
14;"1102";"34022000-000";"0";"tributado"
14;"1102";"34022000-000";"0";"tributado"
14;"1102";"30049099-000";"0";"monofasico revenda de produtos"
14;"1102";"38089199-000";"0";"tributado"
14;"1102";"30042059-000";"0";"monofasico revenda de produtos"
14;"1102";"23012090-000";"0";"tributado"
14;"1102";"23012090-000";"0";"tributado"
14;"1124";"04012090-000";"0";"tributado"
14;"1653";"27101921-000";"0";"tributado"
14;"1653";"27101921-000";"0";"tributado"
14;"1653";"27101921-000";"0";"tributado"
14;"1653";"27101921-000";"0";"tributado"
