"cnpj";"cfop";"ncm";"natureza_frete";"y"
11;"1202";"30042069-000";"0";"monofasico revenda de produtos"
11;"1202";"30042099-000";"0";"monofasico revenda de produtos"
11;"1202";"30043939-000";"0";"monofasico revenda de produtos"
11;"1202";"30044090-000";"0";"monofasico revenda de produtos"
11;"1202";"30045030-000";"0";"monofasico revenda de produtos"
11;"1202";"30045090-000";"0";"monofasico revenda de produtos"
11;"1202";"30049029-000";"0";"monofasico revenda de produtos"
11;"1202";"30049059-000";"0";"monofasico revenda de produtos"
11;"1202";"30049062-000";"0";"monofasico revenda de produtos"
11;"1202";"30049063-000";"0";"monofasico revenda de produtos"
11;"1202";"30049069-000";"0";"monofasico revenda de produtos"
11;"1202";"30049076-000";"0";"monofasico revenda de produtos"
11;"1202";"30049079-000";"0";"monofasico revenda de produtos"
11;"1202";"30049096-000";"0";"monofasico revenda de produtos"
11;"1202";"30049099-000";"0";"monofasico revenda de produtos"
11;"1202";"30059090-000";"0";"tributado"
11;"1202";"30061090-000";"0";"tributado"
11;"1202";"31021010-000";"0";"aliquota zero"
11;"1202";"31021090-000";"0";"aliquota zero"
11;"1202";"31029000-000";"0";"aliquota zero"
11;"1202";"31031010-000";"0";"aliquota zero"
11;"1202";"31042090-000";"0";"aliquota zero"
11;"1202";"31052000-000";"0";"aliquota zero"
11;"1202";"31056000-000";"0";"aliquota zero"
11;"1202";"34029039-000";"0";"tributado"
11;"1202";"34029090-000";"0";"tributado"
11;"1202";"36050000-000";"0";"tributado"
11;"1202";"38021000-000";"0";"tributado"
11;"1202";"38085029-000";"0";"aliquota zero"
11;"1202";"38089192-000";"0";"aliquota zero"
11;"1202";"38089199-000";"0";"aliquota zero"
11;"1202";"38089219-000";"0";"tributado"
11;"1202";"38089296-000";"0";"aliquota zero"
11;"1202";"38089299-000";"0";"aliquota zero"
11;"1202";"38089324-000";"0";"aliquota zero"
11;"1202";"38089329-000";"0";"aliquota zero"
11;"1202";"38089429-000";"0";"aliquota zero"
11;"1202";"38089993-000";"0";"aliquota zero"
11;"1202";"38089996-000";"0";"aliquota zero"
